Item,Description,Quantity,Unit Price ($),Total Price ($),URL
XIAO ESP32 C3,MCU,1,$4.34,$4.34,https://www.aliexpress.us/item/3256808605622611.html
Display,s,2,$2.46,$4.92,https://www.aliexpress.us/item/3256807544901434.html
Headers,Headers,1,$1.57,$1.57,https://www.aliexpress.us/item/3256811506646304.html
Buzzer,12*9.5mm,1,$2.23,$2.23,https://www.aliexpress.us/item/3256810135642750.html
Threaded Inserts,M3X4X5,1,$2.47,$2.47,https://www.aliexpress.us/item/3256811754262338.html
Screws,"M3, 10mm",1,$1.94,$1.94,https://www.aliexpress.com/item/1005005218718202.html?spm=a2g0o.productlist.main.6.6634BstrBstrDT&algo_pvid=940bf540-63df-4b5b-9c2d-fe138aa53059&algo_exp_id=940bf540-63df-4b5b-9c2d-fe138aa53059-5&pdp_ext_f=%7B%22order%22%3A%22268%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.15%212.15%21%21%2114.48%2114.48%21%40210385db17811162362654060e1724%2112000032228321863%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af52ab060%3Bm03_new_user%3A-29895&curPageLogUid=A6nTqmv1UyzB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005218718202%7C_p_origin_prod%3A
Shipping,Aliexpress,1,$0,$0,https://www.aliexpress.us/
PCB,JLCPCB,1,$6.90,$6.90,https://jlcpcb.com/
Shipping,JLCPCB,1,$3.30,$3.30,https://jlcpcb.com/
MCP23017, I/O Expander,1,$5.95, $5.95,https://www.adafruit.com/product/5346
RGB LED,lights!,1,$1.49,$1.49,https://alishort.com/GNgED
Resistors, 3x15 ohm,1,$2.42,$2.42,https://alishort.com/Jayg2
Cherry MX keys, 1.00u,1,$4.64, $4.64,https://alishort.com/x8kzf
Cherry MX keycaps, -,1,$2.53, $2.53,https://alishort.com/fx0i5
